TIMESTAMP,MMSI,LON,LAT,HEADING,COURSE,SPEED,NAVIGATIONAL_STATUS,TYPE,STATION,CLASS
1425770894000,555532555,25.221134,37.48778,293,22.5,0,0,30,-1,A
1425771019000,555532555,25.206017,37.492985,293,22.2,0,0,30,-1,A
1425771172000,555532555,25.206833,37.4927,294,22.3,0,0,30,-1,A
1425771296000,555532555,25.18115,37.504883,303,21.0,0,0,30,-1,A
1425771421000,555532555,25.165434,37.515266,313,20.9,0,0,30,-1,A
1425771555000,555532555,25.155767,37.525585,329,20.4,0,0,30,-1,A
1425771684000,555532555,25.153717,37.53395,358,14.0,0,0,30,-1,A
1425771909000,555532555,25.15535,37.53655,208,3.0,0,0,30,-1,A
1425772098000,555532555,25.156334,37.537716,188,0.6,0,0,30,-1,A
1425772289000,555532555,25.15645,37.537766,189,0.0,0,0,30,-1,A
1425772654000,555532555,25.156166,37.537266,217,3.1,0,0,30,-1,A
1425772788000,555532555,25.14855,37.532818,239,16.0,0,0,30,-1,A
1425772944000,555532555,25.133234,37.5246,238,21.5,0,0,30,-1,A
1425773100000,555532555,25.116583,37.515633,239,22.4,0,0,30,-1,A
1425773226000,555532555,25.102917,37.50828,239,22.7,0,0,30,-1,A
1425773412000,555532555,25.082384,37.497166,238,22.6,0,0,30,-1,A
1425773538000,555532555,25.0685,37.489765,238,22.7,0,0,30,-1,A
1425773665000,555532555,25.05505,37.48275,239,22.8,0,0,30,-1,A
1425773790000,555532555,25.041233,37.475582,238,22.8,0,0,30,-1,A
1425773976000,555532555,25.019667,37.46467,238,22.7,0,0,30,-1,A
1425774165000,555532555,25.005583,37.45775,240,22.6,0,0,30,-1,A
1425774348000,555532555,24.97765,37.444584,239,22.5,0,0,30,-1,A
1425774540000,555532555,24.954983,37.435966,252,22.2,0,0,30,-1,A
1425774669000,555532555,24.942766,37.437435,314,13.4,0,0,30,-1,A
1425774849000,555532555,24.942083,37.4402,117,1.1,0,0,30,-1,A
1425775035000,555532555,24.942017,37.4401,128,0.0,0,0,30,-1,A
1425776349000,555532555,24.94195,37.440117,129,0.0,0,0,30,-1,A
1425776532000,555532555,24.9424,37.440132,82,1.4,0,0,30,-1,A
1425776679000,555532555,24.945616,37.43715,149,10.9,0,0,30,-1,A
1425776934000,555532555,24.959133,37.44695,359,20.3,0,0,30,-1,A
1425777056000,555532555,24.959917,37.46002,358,21.5,0,0,30,-1,A
1425777191000,555532555,24.958817,37.473133,349,21.7,0,0,30,-1,A
1425777383000,555532555,24.951483,37.49122,327,22.3,0,0,30,-1,A
1425777543000,555532555,24.938583,37.504684,307,22.7,0,0,30,-1,A
1425777673000,555532555,24.923334,37.510334,290,23.3,0,0,30,-1,A
1425777803000,555532555,24.90785,37.514915,289,22.5,0,0,30,-1,A
1425777990000,555532555,24.885134,37.521015,274,22.3,0,0,30,-1,A
1425778177000,555532555,24.857967,37.52252,272,22.4,0,0,30,-1,A
1425778334000,555532555,24.8379,37.52365,273,22.2,0,0,30,-1,A
1425778472000,555532555,24.819883,37.5246,273,22.1,0,0,30,-1,A
1425778597000,555532555,24.803766,37.52527,273,22.1,0,0,30,-1,A
1425778777000,555532555,24.78065,37.526466,276,22.1,0,0,30,-1,A
1425778904000,555532555,24.764217,37.5275,275,22.3,0,0,30,-1,A
1425779096000,555532555,24.739017,37.529,275,22.6,0,0,30,-1,A
1425779227000,555532555,24.721916,37.530132,275,22.4,0,0,30,-1,A
1425779359000,555532555,24.7048,37.531433,275,22.3,0,0,30,-1,A
1425779480000,555532555,24.68905,37.532684,276,22.4,0,0,30,-1,A
1425779612000,555532555,24.67205,37.534218,275,22.4,0,0,30,-1,A
1425779737000,555532555,24.6559,37.535583,276,22.2,0,0,30,-1,A
1425779864000,555532555,24.63975,37.536835,275,22.0,0,0,30,-1,A
1425780001000,555532555,24.622267,37.538185,275,21.8,0,0,30,-1,A
1425780127000,555532555,24.60615,37.5395,275,22.2,0,0,30,-1,A
1425780265000,555532555,24.58835,37.540985,277,22.4,0,0,30,-1,A
1425780391000,555532555,24.5717,37.542435,276,22.4,0,0,30,-1,A
1425780524000,555532555,24.5545,37.54395,275,22.5,0,0,30,-1,A
1425780649000,555532555,24.538067,37.545334,276,22.7,0,0,30,-1,A
1425780776000,555532555,24.521317,37.5468,274,22.7,0,0,30,-1,A
1425780963000,555532555,24.496634,37.5488,276,22.9,0,0,30,-1,A
1425781146000,555532555,24.47245,37.5508,276,22.9,0,0,30,-1,A
1425781390000,555532555,24.440317,37.550884,247,22.5,0,0,30,-1,A
1425781940000,555532555,24.3711,37.5307,249,22.8,0,0,30,-1,A
1425782064000,555532555,24.355667,37.526066,249,23.1,0,0,30,-1,A
1425782256000,555532555,24.33125,37.5187,253,23.3,0,0,30,-1,A
1425782379000,555532555,24.315184,37.515266,259,23.2,0,0,30,-1,A
1425782505000,555532555,24.298384,37.51275,266,23.6,0,0,30,-1,A
1425782628000,555532555,24.281683,37.51305,279,23.0,0,0,30,-1,A
1425782752000,555532555,24.265867,37.51705,292,22.8,0,0,30,-1,A
1425782872000,555532555,24.251833,37.5219,295,22.0,0,0,30,-1,A
1425782998000,555532555,24.237234,37.52735,295,21.7,0,0,30,-1,A
1425783124000,555532555,24.222866,37.5329,294,21.6,0,0,30,-1,A
1425783383000,555532555,24.19345,37.544018,294,21.7,0,0,30,-1,A
1425783586000,555532555,24.169884,37.552483,293,21.9,0,0,30,-1,A
1425783712000,555532555,24.155016,37.55765,294,22.0,0,0,30,-1,A
1425783838000,555532555,24.139833,37.562935,293,22.3,0,0,30,-1,A
1425783970000,555532555,24.124117,37.56785,291,22.3,0,0,30,-1,A
1425784102000,555532555,24.1078,37.572433,289,22.3,0,0,30,-1,A
1425784354000,555532555,24.076866,37.581367,293,22.5,0,0,30,-1,A
1425784481000,555532555,24.06175,37.5866,295,22.4,0,0,30,-1,A
1425784607000,555532555,24.04665,37.592,295,22.3,0,0,30,-1,A
1425784804000,555532555,24.023317,37.600517,296,22.2,0,0,30,-1,A
1425784942000,555532555,24.007584,37.606766,295,22.1,0,0,30,-1,A
1425785074000,555532555,23.992134,37.61297,296,22.4,0,0,30,-1,A
1425785212000,555532555,23.97615,37.619434,295,22.2,0,0,30,-1,A
1425785345000,555532555,23.960716,37.625534,294,22.3,0,0,30,-1,A
1425785506000,555532555,23.941984,37.632965,295,22.5,0,0,30,-1,A
1425785638000,555532555,23.9264,37.639317,295,22.3,0,0,30,-1,A
1425785770000,555532555,23.911,37.64543,295,22.4,0,0,30,-1,A
1425785920000,555532555,23.893534,37.652283,295,22.5,0,0,30,-1,A
1425786082000,555532555,23.874184,37.65995,295,22.6,0,0,30,-1,A
1425786209000,555532555,23.859434,37.665833,294,22.6,0,0,30,-1,A
1425786330000,555532555,23.84525,37.67155,295,22.5,0,0,30,-1,A
1425786460000,555532555,23.8298,37.677734,294,22.6,0,0,30,-1,A
1425786598000,555532555,23.813517,37.68425,295,22.6,0,0,30,-1,A
1425786754000,555532555,23.795067,37.69158,294,22.6,0,0,30,-1,A
1425786880000,555532555,23.779917,37.6976,295,22.6,0,0,30,-1,A
1425787001000,555532555,23.765966,37.703133,295,22.6,0,0,30,-1,A
1425787162000,555532555,23.748867,37.713234,316,22.4,0,0,30,-1,A
1425787283000,555532555,23.740084,37.723366,328,22.3,0,0,30,-1,A
1425787408000,555532555,23.732166,37.735065,332,22.4,0,0,30,-1,A
1425787540000,555532555,23.7251,37.747433,334,22.3,0,0,30,-1,A
1425787666000,555532555,23.718416,37.75923,333,22.3,0,0,30,-1,A
1425787786000,555532555,23.711983,37.770733,333,22.4,0,0,30,-1,A
1425787913000,555532555,23.70475,37.78245,330,22.3,0,0,30,-1,A
1425788044000,555532555,23.6969,37.79475,330,22.4,0,0,30,-1,A
1425788170000,555532555,23.6896,37.806416,330,22.4,0,0,30,-1,A
1425788302000,555532555,23.681833,37.818733,330,22.4,0,0,30,-1,A
1425788422000,555532555,23.674717,37.829933,330,22.5,0,0,30,-1,A
1425788554000,555532555,23.667284,37.841618,330,22.6,0,0,30,-1,A
1425788674000,555532555,23.6596,37.8535,327,22.6,0,0,30,-1,A
1425788800000,555532555,23.65155,37.86505,328,22.7,0,0,30,-1,A
1425788926000,555532555,23.643467,37.876617,328,22.6,0,0,30,-1,A
